Play Count,Track,Artist,Album,Spotify URI
8,Boltzmann Brains,Arnaud Roy,Endless Space 2: Definitive Edition (Original Game Soundtrack),spotify:track:4EpvKE2t3NLkP4X5ntfRNZ
8,SCOOP (feat. Doja Cat),Lil Nas X,MONTERO,spotify:track:6bpq1jGkVz66Q3LYeoXdjZ
8,Summer,Nicop Records,Among The Ashes,spotify:track:7to9IiwUWQVkZIGMjVoY1z
8,Rio (feat. Digital Farm Animals),Netsky,3,spotify:track:5IfSQQzGijWKd7dbkbqHuN
8,Where Does The Time Go (feat. Joji),Rich Brian,The Sailor,spotify:track:0D7EgPJwNzBTSej80OveHZ
8,Love To Dream,Doja Cat,Planet Her,spotify:track:6Q9IUoBTNLHgBib1FSFGbj
8,Optimistic Nihilism,Epic Mountain,"Kurzgesagt, Vol. 4 (Original Motion Picture Soundtrack)",spotify:track:3PmEzB2ORXmXBx07JY9z66
8,Nobody else,Yung Lean,Stardust,spotify:track:1pr0MS7rg5uUXBdlIKyvlg
8,"Frat Rules (feat. A$AP Rocky, Playboi Carti & Big Sean)",A$AP Mob,Cozy Tapes Vol. 2: Too Cozy,spotify:track:0RyA3o15NOLJYtm9NlDu5c
8,family ties (with Kendrick Lamar),Baby Keem,The Melodic Blue,spotify:track:2P0Si3pfikrrkpLLnrXaLR
8,Dyson Sphere,Epic Mountain,"Kurzgesagt, Vol. 5 (Original Motion Picture Soundtrack)",spotify:track:1f05nvt9YTdDOhi0eIJjly
8,robert patekson,bbno$,bag or die,spotify:track:3uOxTzOy7jymEffBWhBM7l
8,Do You?,Golden Features,XXIV,spotify:track:4fHHSFn4eB1cxseLlNNzS9
8,Big Pussy,BROCKHAMPTON,Big Pussy,spotify:track:2l7IXXGf3d9lcBsDBDQkx9
8,MOFO,Cloonee,MOFO,spotify:track:1uu5RapHFSkk6sYbuE6sjC
8,Beach Boy,BENEE,Lychee,spotify:track:4Z2zWAUN9YVxHkZXS7s1KE
8,"Pro Freak (with Doechii, Fatman Scoop)",Smino,Luv 4 Rent,spotify:track:16jl1W58vcK8Jd5ZGbvd5f
8,Louphoria (with Cruza),Smino,Luv 4 Rent,spotify:track:0E1GJFHAHBQLNyh7VZqDoZ
8,UUU,Kumo 99,Body N. Will,spotify:track:47NRsfMF9inUoBiyKSbIIg
7,MAZZA (feat. A$AP Rocky),slowthai,MAZZA (feat. A$AP Rocky),spotify:track:5f7MdwR02i1Lxy9TLi80SA
